source_id,title,count
10600153309,plos one,8899
21100200805,scientific reports,2435
21100264002,ecology and evolution,2118
25349,science of the total environment,1582
21100239256,peerj,1327
20297,molecular ecology,1265
20308,ecology,1250
12925,oecologia,1119
21100307458,ecosphere,1100
25720,forest ecology and management,1032
17244,biological conservation,947
15131,global change biology,937
24580,animal behaviour,934
21100226442,frontiers in microbiology,825
29547,journal of applied ecology,810
15168,hydrobiologia,804
29602,journal of ecology,803
21121,proceedings of the national academy of sciences of the united states of america,793
29269,journal of biogeography,774
12137,journal of statistical software,751
29544,journal of animal ecology,746
20287,ecological applications,739
20292,ecological indicators,718
18920,journal of evolutionary biology,706
21100313905,frontiers in plant science,701
21100216571,frontiers in psychology,700
13257,biological invasions,684
15112,freshwater biology,650
19908,new phytologist,649
22803,behavioral ecology and sociobiology,640
18002,functional ecology,630
21727,bmc genomics,624
13151,behavioral ecology,602
14551,diversity and distributions,595
17242,biodiversity and conservation,579
14802,soil biology and biochemistry,562
16574,plant and soil,560
21100217611,methods in ecology and evolution,549
22044,global ecology and biogeography,546
12016,canadian journal of fisheries and aquatic sciences,537
12781,fisheries research,533
14599,ecology letters,526
12604,american naturalist,496
19700182758,nature communications,494
21100219934,forests,470
12165,marine biology,470
23916,environmental pollution,463
29771,biological journal of the linnean society,455
39112,geoderma,452
23972,landscape ecology,452
20086,statistics in medicine,451
16703,american journal of botany,433
17929,bmc bioinformatics,428
25639,canadian journal of forest research,427
27298,ices journal of marine science,408
21100446014,royal society open science,407
21724,bmc evolutionary biology,399
16599,plant ecology,399
23274,ecological modelling,381
22578,journal of mammalogy,379
22021,ibis,359
86430,remote sensing,356
29606,journal of experimental marine biology and ecology,354
32795,journal of dairy science,352
24765,canadian journal of zoology,352
13817,biotropica,348
11900154404,plos neglected tropical diseases,346
17500154721,parasites and vectors,335
21489,ethology,329
19618,applied and environmental microbiology,327
17945,bioinformatics,326
28461,computational statistics and data analysis,324
19779,ecological entomology,318
5000159300,austral ecology,318
16711,annals of botany,313
38753,crop science,313
20343,ecosystems,310
145678,biology letters,303
21100834704,frontiers in ecology and evolution,301
20311,environmental entomology,301
24024,marine pollution bulletin,300
22173,genetics,299
18838,preventive veterinary medicine,299
22800,basic and applied ecology,298
18609,journal of wildlife management,297
5800173382,isme journal,294
20486,journal of insect conservation,292
12493,acta oecologica,291
17720,north american journal of fisheries management,291
12216,molecular biology and evolution,290
11700154306,molecular ecology resources,287
19046,theoretical and applied genetics,286
23918,environmental science and pollution research,286
23371,journal of environmental management,285
21100790929,frontiers in marine science,285
29605,journal of experimental biology,282
13048,polar biology,280
29411,transactions of the american fisheries society,280
22214,genome research,276
12503,remote sensing of environment,274
12067,agricultural and forest meteorology,271
19705,fems microbiology ecology,263
22608,journal of zoology,262
14580,ecological research,261
17822,conservation biology,259
24657,chemosphere,253
33784,american journal of physical anthropology,253
19400157205,evolutionary applications,248
22069,conservation genetics,248
101700,european journal of wildlife research,248
4000151808,plos genetics,247
21487,environmental biology of fishes,245
22235,heredity,244
29419,aquaculture,244
20977,auk,242
18795,water research,241
19793,entomologia experimentalis et applicata,236
17807,tree physiology,235
96119,applied soil ecology,234
19700182013,genome biology and evolution,233
17495,neuroimage,228
21482,environmental monitoring and assessment,227
20291,ecological engineering,226
12936,journal of the acoustical society of america,226
26825,coral reefs,221
18965,molecular phylogenetics and evolution,220
25259,restoration ecology,215
21554,condor,214
21606,evolutionary ecology,214
4000151810,plos computational biology,213
18854,water resources research,211
20266,microbial ecology,211
21100349522,global ecology and conservation,211
50088,european journal of forest research,211
20465,journal of economic entomology,211
21449,ecology of freshwater fish,209
29576,limnology and oceanography,208
17180,animal conservation,208
130037,biogeosciences,207
146223,behavior research methods,206
24021,marine environmental research,204
21100242814,elife,203
29267,journal of arid environments,203
19800188003,bmj open,201
19621,bmc public health,200
14288,behavioural processes,199
4700151916,zootaxa,199
12196,methods in molecular biology,197
4400151710,wilson journal of ornithology,197
